fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,prev_quarter_EPS,estimatedEPS_change,estimatedEPS_pct_change,as_of,garch_vol,e_garch_vol,call_delta,put_delta,call_gamma,put_gamma,call_vega,put_vega,call_theta,put_theta,call_rho,put_rho,atm_iv,iv_garch_spread,surprise_norm,garch_vol_lag1,atm_iv_lag1,iv_garch_spread_lag1,atm_iv estimatedEPS,garch_vol_roll5_mean,garch_vol_roll5_std,garch_vol_roll10_mean,garch_vol_roll10_std,atm_iv_roll5_mean,atm_iv_roll5_std,atm_iv_roll10_mean,atm_iv_roll10_std,iv_garch_spread_roll5_mean,iv_garch_spread_roll5_std,iv_garch_spread_roll10_mean,iv_garch_spread_roll10_std,strike,call_ask,put_ask,straddle_cost,underlying,underlying_t1,abs_move,return,breakeven_pct,realized_vol
2015-09-30,2015-10-27,0.49,0.47,0.02,4.2553,0.4625,0.007499999999999951,0.01621621621621611,2015-10-26,0.24907004254075493,6.672652896982746e-57,1.0,-0.00171,0.0,0.00027,0.0,0.00066,-0.00023,-0.01391,0.00767,-2e-05,0.01976,-0.22931004254075493,0.04255319148936171,0.19552791185169818,0.01976,-0.17576791185169818,0.009287199999999999,0.22026707625711883,0.020076757644885267,0.23164840793766373,0.02356540826613453,0.01976,0.0,0.4262533333333334,0.9957012505097433,-0.20063312023080035,0.026973817156604133,0.20090596992469004,0.9869308345038964,70.0,46.45,0.01,4646.0,28.850000381469727,26.885183334350586,4311.481666564941,-0.07200136320169148,1.6103985922246686,1.1197032806406328
2015-12-31,2016-01-26,0.82,0.8075,0.0125,1.548,0.49,0.3175,0.6479591836734694,2016-01-25,0.36007600321699523,0.30691600591593904,0.99675,-0.00137,0.00037,0.00019,0.00102,0.00047,-0.03293,-0.01331,0.00544,-2e-05,2.53677,2.176693996783005,0.015479876160990714,0.24907004254075493,0.01976,-0.22931004254075493,2.048441775,0.24649460253453012,0.06641579971611644,0.24396685185177316,0.047077562642277034,0.6490125,1.258505,0.8457550000000001,1.2798639600793515,0.39369865902265094,1.1888675759717557,0.5998768967345077,1.2364528705194755,50.0,49.65,0.03,4968.0,24.982500076293945,21.993350982666016,2800.6649017333984,-0.43625907775092626,1.988592008337135,2.0229743103979407
2016-03-31,2016-04-26,0.475,0.5,-0.025,-5.0,0.82,-0.31999999999999995,-0.39024390243902435,2016-04-25,0.2172607277368546,0.24413669058856752,1.0,-0.00345,0.0,0.00124,0.0,0.00114,-0.00086,-0.01085,0.00931,-4e-05,0.01976,-0.1975007277368546,-0.05,0.36007600321699523,2.53677,2.176693996783005,0.00988,0.24663046682191142,0.0663399608812814,0.23834559953237483,0.046515561125382396,0.6490125000000002,1.258505,0.7277557142857144,1.2093427761647666,0.39352882866342426,1.1889800939709743,0.4859658075243131,1.1682650546409603,85.0,20.2,0.01,2021.0,25.977500915527344,21.294889450073242,6370.511054992676,2.1521578698627786,0.7779809176301491,3.155275950666934
2016-06-30,2016-07-26,0.355,0.345,0.01,2.8986,0.475,-0.13,-0.2736842105263158,2016-07-25,0.19992614263118771,0.19100127792421784,1.0,-0.00173,0.0,0.00028,0.0,0.00057,-0.0006,-0.01365,0.00603,-2e-05,0.01976,-0.18016614263118771,0.028985507246376815,0.2172607277368546,0.01976,-0.1975007277368546,0.0068172,0.24437216559549815,0.06801780691853855,0.23326115105541886,0.04776846243331451,0.5231620000000001,1.1256410920093491,0.6392562500000001,1.1472738116065468,0.27878983440450184,1.0611693700405063,0.40269931375487555,1.1069472003482759,55.0,42.4,0.01,4241.0,24.204999923706055,23.817489624023438,3118.2510375976562,-0.2647368456501636,1.75211733665259,0.25619949659625213
2016-09-30,2016-10-25,0.4175,0.415,0.0025,0.6024,0.355,0.06,0.16901408450704225,2016-10-24,0.2021643715336906,0.19327704145791322,1.0,-0.0016,0.0,0.00024,0.0,0.00064,-0.00079,-0.01387,0.00767,-2e-05,0.01976,-0.1824043715336906,0.006024096385542169,0.19992614263118771,0.01976,-0.18016614263118771,0.0082004,0.24569945753189662,0.06688164260165762,0.2324388793299617,0.04827405525090077,0.5231620000000001,1.1256410920093491,0.6392562500000001,1.1472738116065468,0.27746254246810337,1.061883970831875,0.403727153411697,1.1063212128143307,70.0,47.65,0.02,4767.0,29.487499237060547,26.131816864013672,4386.818313598633,-0.07975281862835477,1.6166172525097442,1.9178439030016683
2016-12-31,2017-01-31,0.84,0.8025,0.0375,4.6729,0.4175,0.385,0.9221556886227545,2017-01-30,0.17445026075836015,0.10891963516823155,1.0,-0.00166,0.0,0.00026,0.0,0.00068,-0.00136,-0.01378,0.00822,-2e-05,0.01976,-0.15469026075836015,0.04672897196261682,0.2021643715336906,0.01976,-0.1824043715336906,0.0158574,0.23077550117541765,0.07389871666562485,0.22552128871626823,0.05135113714535532,0.5231620000000001,1.1256410920093491,0.33438625000000005,0.8898974196571762,0.29238649882458234,1.0534721448728441,0.10750414167881386,0.8363545523081789,75.0,46.65,0.07,4672.0,30.287500381469727,29.813701629638672,4518.629837036133,-0.032827517757677054,1.5425505377321889,0.25029375709081575
2017-03-31,2017-05-02,0.525,0.505,0.02,3.9604,0.84,-0.33499999999999996,-0.3988095238095238,2017-05-01,0.12438733917292856,0.18095727211862273,0.97924,-0.00137,0.00134,0.00018,0.00767,0.00069,-0.23599,-0.01376,0.00949,-2e-05,2.43921,2.3148226608270717,0.039603960396039604,0.17445026075836015,0.01976,-0.15469026075836015,1.23180105,0.18363776836660434,0.036517369886102505,0.2150661854505672,0.06042052725629128,0.50365,1.0820109336323733,0.5682555555555555,1.0886603736027034,0.3200122316333957,1.1152389449170603,0.35276175491750916,1.0739713644621354,90.0,58.55,0.02,5857.0,36.8849983215332,34.5545654296875,5544.54345703125,-0.05334754020296227,1.5879084360919504,1.0360535270244573
2017-06-30,2017-08-01,0.4175,0.3925,0.025,6.3694,0.525,-0.1325,-0.2523809523809524,2017-07-31,0.18762309136480115,0.2259177796364837,0.99387,-0.00151,0.00063,0.00021,0.0027,0.00076,-0.06261,-0.01417,0.0103,-3e-05,1.77581,1.588186908635199,0.06369426751592357,0.12438733917292856,2.43921,2.3148226608270717,0.6970054250000001,0.17771024109219363,0.03179534053220594,0.21217035395705253,0.06103071188958304,0.8548600000000001,1.1673142095211553,0.7633722222222223,1.1344688741739213,0.6771497589078065,1.1914007405542588,0.5510960121325255,1.123472368071229,95.0,53.85,0.01,5386.0,37.275001525878906,36.427860260009766,5857.213973999023,0.08748866951337234,1.4449362252234017,0.3649395050044749
2017-09-30,2017-11-02,0.5175,0.4675,0.05,10.6952,0.4175,0.050000000000000044,0.11976047904191628,2017-11-01,0.20203703886627208,0.1450966265616582,1.0,-0.00125,0.0,0.00016,0.0,0.00051,-0.00334,-0.02723,0.00575,-1e-05,0.01976,-0.18227703886627208,0.10695187165775401,0.18762309136480115,1.77581,1.588186908635199,0.009237800000000001,0.17813242033921053,0.0321758074894917,0.21125229296735432,0.061115626490083286,0.8548600000000001,1.1673142095211553,0.689011,1.095131663068165,0.6767275796607894,1.1917807970529806,0.4777587070326457,1.0843110318074871,105.0,62.2,0.02,6222.000000000001,41.650001525878906,40.338134765625,6466.1865234375,0.03924566432618114,1.4938774962910886,0.5080495218158968
2017-12-31,2018-02-01,0.9725,0.965,0.0075,0.7772,0.5175,0.4475,0.8647342995169083,2018-01-31,0.17252763989749056,0.20708484395769317,0.99765,-0.00205,0.00048,0.00043,0.00091,0.0008,-0.03274,-0.02427,0.0071,-2e-05,1.22948,1.0569523601025093,0.007772020725388601,0.20203703886627208,0.01976,-0.18227703886627208,1.1864481999999998,0.17220507401197052,0.02923757028026658,0.20895226577193354,0.06219639106571349,1.0968040000000001,1.072468355444579,0.8099830000000001,1.0796958330016426,0.9245989259880296,1.0932323661218228,0.6010307342280665,1.0717577484659946,130.0,37.8,0.01,3780.9999999999995,41.79249954223633,37.666934967041016,9233.306503295898,1.4420276390626552,0.9047077924063494,1.6499048089296757
